################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.5013100207505792E+00 a         1     0     1     1     1
 -7.3287723662095212E+00 a         2     0     1     1     2
 -7.3240340352109312E+00 a         3     0     1     1     3
 -1.5222596103101155E+01 a         4     0     1     1     4
  6.4461917200780505E-01 a         5     0     1     1     5
 -1.1267893474901927E+01 a         6     0     1     1     6
  3.2022242215753023E+00 a         7     0     1     1     7
  2.5325383052177870E+01 a         8     0     1     1     8
  1.8895458342412034E+01 a         9     0     1     1     9
 -2.6802726982618347E-01 a        10     0     1     1    10
 -8.2267557538243548E+00 a        11     0     1     1    11
 -5.0879667597677107E+00 a        12     0     1     1    12
  1.2588842779070255E+00 a        13     0     1     1    13
  2.1804264019193571E+00 a        14     0     1     1    14
 -1.1117062867627659E+01 a        15     0     1     1    15
  8.0371926460855327E+00 a        16     0     1     1    16
  6.6461895707932248E+00 a        17     0     2     1     1
  4.9008561853629367E+00 a        18     0     2     1     2
  1.1769408563544939E+01 a        19     0     2     1     3
 -5.3179622779995608E+00 a        20     0     2     1     4
  1.9836372544373990E+00 a        21     0     2     1     5
  1.2150259326955119E+01 a        22     0     2     1     6
  1.0047748720588693E+01 a        23     0     2     1     7
  1.2526038149383082E+01 a        24     0     2     1     8
  1.9959933706076612E+01 a        25     0     2     1     9
 -8.4170414240234948E+00 a        26     0     2     1    10
  1.1299224604916317E+01 a        27     0     2     1    11
  2.4203208200683317E+00 a        28     0     2     1    12
  2.9542296742294138E+00 a        29     0     2     1    13
  1.1465335988563286E+00 a        30     0     2     1    14
  7.9490845802479217E+00 a        31     0     2     1    15
  2.3602554839446648E+00 a        32     0     2     1    16
  1.4556128995730506E+00 a        33     0     3     1     1
  1.0481954928655743E+00 a        34     0     3     1     2
  3.7420186506902153E+00 a        35     0     3     1     3
  7.1380012291059378E-02 a        36     0     3     1     4
 -7.8496584993559448E+00 a        37     0     3     1     5
  9.1530355099931082E+00 a        38     0     3     1     6
 -4.0550733207597958E+00 a        39     0     3     1     7
  8.4019277810972781E+00 a        40     0     3     1     8
  8.9646748608723659E-01 a        41     0     3     1     9
 -5.3052164342410375E+00 a        42     0     3     1    10
 -3.3725744105683875E+00 a        43     0     3     1    11
  7.6763774779287983E+00 a        44     0     3     1    12
  2.3659231310766526E+00 a        45     0     3     1    13
 -7.7508497805583731E+00 a        46     0     3     1    14
  5.2679427613030336E+00 a        47     0     3     1    15
  8.4679260206313458E+00 a        48     0     3     1    16
 -3.2485353523003702E+00 a        49     0     4     1     1
  1.0367963263851992E+01 a        50     0     4     1     2
  7.4109684271303751E+00 a        51     0     4     1     3
  1.5547275886004472E+01 a        52     0     4     1     4
  2.6813163716444546E+00 a        53     0     4     1     5
  1.1040734860743454E+01 a        54     0     4     1     6
  8.7657874506716060E-01 a        55     0     4     1     7
 -2.1128415808162536E+01 a        56     0     4     1     8
 -1.6897845931805392E+01 a        57     0     4     1     9
 -2.5981738894967372E+00 a        58     0     4     1    10
  7.5584319829124018E+00 a        59     0     4     1    11
  6.8750016356966244E+00 a        60     0     4     1    12
 -1.5561722114714671E+00 a        61     0     4     1    13
  4.7808614959515632E+00 a        62     0     4     1    14
  1.3790768893387368E+01 a        63     0     4     1    15
 -6.2893041770018163E+00 a        64     0     4     1    16
 -5.7490604303606023E+00 a        65     0     5     1     1
 -1.0637490694545457E+01 a        66     0     5     1     2
 -1.3798908525468116E+01 a        67     0     5     1     3
  6.2323341294688497E+00 a        68     0     5     1     4
 -4.3623932109279879E+00 a        69     0     5     1     5
 -1.4658850851185898E+01 a        70     0     5     1     6
 -1.3430892536040863E+01 a        71     0     5     1     7
