################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   7.4768419630044924E-01   3.3364023873895317E+00   2.0376913446656189E+00   3.0685262013922815E-01
         1          2   6.1413661217870286E-01   1.8242694597223843E+00   1.2102713039984414E+00   1.5183892520383968E-01
         1          3   4.3798487858863439E-01   2.5615767696295508E+00   1.4840147032279885E+00   2.3276593810466414E-01
         1          4   4.5407659844057574E-01   1.4437088849307838E+00   9.3406325644203425E-01   1.1448593108018074E-01
         1          5   1.4440504871438509E-01   1.5818134583074421E+00   8.2799094865846146E-01   1.4082118149699011E-01
         1          6   1.7988884629858529E-01   9.7078787300191438E-01   6.0792821194952118E-01   6.9347315816327706E-02
         1          7   3.1570129834735235E-02   9.7115923372268120E-01   4.2497505229526972E-01   7.9854742043263274E-02
         1          8   4.8721757260615263E-02   6.7123379836259478E-01   4.0647795829934685E-01   4.2637218715193943E-02
         1          9   6.0846192364647960E-03   6.1622909678793691E-01   3.5466660633636432E-01   3.7205124985258700E-02
         1         10   1.3434681790004070E-02   1.1812175559774871E+00   5.0576656636847805E-01   1.0465602403247107E-01
         1         11   8.7346371205597280E-05   4.8099854657763175E-01   2.6848645378217173E-01   3.0089094687706115E-02
         1         12   4.8787813634159168E-04   9.8857928466852019E-01   2.9093071575995549E-01   6.8143375644548629E-02
         1         13   2.7079245360870346E-08   3.4171673372164174E-01   1.9151476435984793E-01   3.4334655337339856E-02
         1         14   9.5449566205144568E-07   9.0188812750299474E-01   1.6058526495621656E-01   5.0747914700276293E-02
         1         15   1.4975865201997623E-18   2.4396642912395303E-01   8.6321121147287322E-02   3.3154803309765578E-02
         1         16   1.5924833534888128E-14   8.1106321261196346E-01   6.0524939097810190E-02   4.1878858126029761E-02
         1         17   8.4252605623819939E-05   3.9489620342353191E-02   1.5268824827191505E-02   6.0102246897276073E-03
         1         18   2.5827248701807224E-03   5.6604720374854638E-02   1.7534965071067901E-02   6.0200949671300220E-03
         1         19   1.0510890699275814E-04   7.2950432248406555E-02   1.4734064456344186E-02   6.1558133586244942E-03
         1         20   1.1540410993897353E-02   2.7483674107674722E-01   1.2495907432764448E-01   2.7234472581747608E-02
         1         21   3.8408150122333815E-04   6.9605088831475051E-02   1.5679437034711391E-02   5.5824405294600688E-03
         1         22   5.0719022908301192E-05   2.8206380973867289E-02   5.2740505535297565E-03   2.4859761888944925E-03
         1         23   2.1663003129814371E-03   1.7929021009522531E-01   7.2925028656151067E-02   1.5631191058286076E-02
