################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6194305616907207E+00 a         1     0     1     1     1
 -1.3110491867759455E-01 a         2     0     1     1     2
 -8.1160033715822177E-01 a         3     0     1     1     3
  1.7942497312605293E-01 a         4     0     1     1     4
  2.1981351960983983E-01 a         5     0     1     1     5
 -1.5297395747708800E+00 a         6     0     1     1     6
  1.2650803971886276E-01 a         7     0     1     1     7
  8.1853626266683954E-01 a         8     0     1     1     8
  1.1869864659412237E-01 a         9     0     1     1     9
 -8.9365944690712706E-01 a        10     0     1     1    10
 -8.7898257655122591E-01 a        11     0     1     1    11
 -2.9083334469709694E+00 a        12     0     1     1    12
  2.7863777469722590E+00 a        13     0     1     1    13
 -4.4031131576836380E-01 a        14     0     1     1    14
 -8.2572250542320147E-03 a        15     0     1     1    15
  7.5117335569352051E-01 a        16     0     1     1    16
  1.2085330748400906E-01 a        17     0     1     1    17
  2.7109261213561048E-01 a        18     0     1     1    18
 -6.8385771985739219E-01 a        19     0     1     1    19
  4.7551281374998300E-01 a        20     0     1     1    20
  3.3256045923954675E-01 a        21     0     2     1     1
  2.8521482906002769E+00 a        22     0     2     1     2
 -1.0323359347235146E+00 a        23     0     2     1     3
 -1.5961877270655969E+00 a        24     0     2     1     4
 -7.4696603744708645E-01 a        25     0     2     1     5
  9.4436904506657227E-01 a        26     0     2     1     6
 -2.9886199508887676E+00 a        27     0     2     1     7
  3.1112472199093943E-01 a        28     0     2     1     8
 -2.4849186355898052E+00 a        29     0     2     1     9
  2.4570656482701142E-01 a        30     0     2     1    10
 -7.0362383249447535E-01 a        31     0     2     1    11
  1.8343010256105035E+00 a        32     0     2     1    12
 -1.6435864435841008E+00 a        33     0     2     1    13
  4.6720167078712038E-01 a        34     0     2     1    14
  1.2936957643304576E+00 a        35     0     2     1    15
  1.8848812281949148E+00 a        36     0     2     1    16
 -1.7005230910949365E+00 a        37     0     2     1    17
 -2.9456392843108388E+00 a        38     0     2     1    18
 -4.3360267789738571E-01 a        39     0     2     1    19
 -5.6899717219063994E-01 a        40     0     2     1    20
 -1.2871446688697479E+00 a        41     0     3     1     1
  2.7979882430513475E-01 a        42     0     3     1     2
  1.4226627384551112E+00 a        43     0     3     1     3
 -7.0544760388332106E-01 a        44     0     3     1     4
  1.0458116293348934E+00 a        45     0     3     1     5
  1.0497802782601513E+00 a        46     0     3     1     6
 -6.4528734328995274E-01 a        47     0     3     1     7
 -2.9043809086506989E+00 a        48     0     3     1     8
  1.4868359901355288E+00 a        49     0     3     1     9
  5.1027381172665898E-01 a        50     0     3     1    10
  1.8134049858868413E+00 a        51     0     3     1    11
  1.9593015049058755E+00 a        52     0     3     1    12
 -2.7083987258987561E+00 a        53     0     3     1    13
 -2.3793804506083340E-02 a        54     0     3     1    14
  1.9329273645114801E-03 a        55     0     3     1    15
 -2.1690593629919115E+00 a        56     0     3     1    16
  1.4767480342985735E+00 a        57     0     3     1    17
  9.8370293486083882E-01 a        58     0     3     1    18
  2.9130066626131286E+00 a        59     0     3     1    19
 -1.0537391980948505E+00 a        60     0     3     1    20
 -7.4111436965446442E-01 a        61     0     4     1     1
 -5.6138599911598082E+00 a        62     0     4     1     2
  1.2149301274652839E+00 a        63     0     4     1     3
  1.0785207692145744E+00 a        64     0     4     1     4
  6.2091774127260513E-01 a        65     0     4     1     5
 -2.0653197038952560E+00 a        66     0     4     1     6
  3.7494883506139143E+00 a        67     0     4     1     7
 -4.9200207023859677E-01 a        68     0     4     1     8
  2.2548374113581664E+00 a        69     0     4     1     9
  5.5619296232084114E-01 a        70     0     4     1    10
  3.8678051565340282E-01 a        71     0     4     1    11
 -2.2907701076574152E+00 a        72     0     4     1    12
  2.1143743523980789E+00 a        73     0     4     1    13
  4.9461082965694220E-01 a        74     0     4     1    14
 -1.9753671354145474E+00 a        75     0     4     1    15
 -4.0944646401820783E+00 a        76     0     4     1    16
  2.3769548678760408E+00 a        77     0     4     1    17
  3.1766231707817503E+00 a        78     0     4     1    18
 -2.1314362546878771E-01 a        79     0     4     1    19
  3.2415655335117216E-01 a        80     0     4     1    20
 -1.4138872403638296E+00 a        81     0     5     1     1
 -1.4280960528869127E+00 a        82     0     5     1     2
 -8.7652749440407651E-01 a        83     0     5     1     3
 -4.5429716533263265E-01 a        84     0     5     1     4
 -2.3192839887172578E+00 a        85     0     5     1     5
  2.1457211328058032E+00 a        86     0     5     1     6
 -3.8643494941292167E-01 a        87     0     5     1     7
  2.5279894956903233E+00 a        88     0     5     1     8
 -2.8520248735362297E+00 a        89     0     5     1     9
  7.2137210245391459E-01 a        90     0     5     1    10
 -5.4709701728403315E-01 a        91     0     5     1    11
  1.1854919312684757E+00 a        92     0     5     1    12
 -6.5737058001272330E-01 a        93     0     5     1    13
 -6.5177683843687972E-01 a        94     0     5     1    14
  2.2623207254146438E+00 a        95     0     5     1    15
  1.7910969180233980E+00 a        96     0     5     1    16
 -2.3313017981516291E+00 a        97     0     5     1    17
  9.1390459822807302E-01 a        98     0     5     1    18
 -3.5397464013692170E+00 a        99     0     5     1    19
  1.3420418518656997E-02 a       100     0     5     1    20
 -9.1362280516159855E-02 a       101     0     6     1     1
  6.0773537218856246E+00 a       102     0     6     1     2
  6.3432767220236785E-01 a       103     0     6     1     3
 -5.7212753050148790E-01 a       104     0     6     1     4
 -1.8916248592329399E-01 a       105     0     6     1     5
  1.4939897877678374E+00 a       106     0     6     1     6
  1.7447120871953561E+00 a       107     0     6     1     7
  2.3535689750087196E-01 a       108     0     6     1     8
  1.2238308252658432E+00 a       109     0     6     1     9
 -2.0619669273349230E+00 a       110     0     6     1    10
  1.1386902948005095E+00 a       111     0     6     1    11
 -3.7509080314869825E-01 a       112     0     6     1    12
 -4.4832123812428637E-01 a       113     0     6     1    13
 -1.3560168805860549E+00 a       114     0     6     1    14
  4.7839239379264231E-01 a       115     0     6     1    15
  4.8562980320539317E+00 a       116     0     6     1    16
