      Step     Time          Energy         fmax
BFGS:    0 16:00:48    -2076.867901       13.9247
BFGS:    1 16:00:57    -2077.432350        9.9822
BFGS:    2 16:01:07    -2077.921501        7.5783
BFGS:    3 16:01:18    -2078.280171        5.1667
BFGS:    4 16:01:29    -2078.459347        2.1897
BFGS:    5 16:01:38    -2078.482613        1.1365
BFGS:    6 16:01:47    -2078.494840        0.3849
BFGS:    7 16:01:56    -2078.496626        0.0221
BFGS:    8 16:02:03    -2078.496640        0.0165
BFGS:    9 16:02:10    -2078.496653        0.0163
BFGS:   10 16:02:16    -2078.496666        0.0119
BFGS:   11 16:02:23    -2078.496668        0.0057
      Step     Time          Energy         fmax
BFGS:    0 16:02:35    -2076.867901       13.9247
BFGS:    1 16:02:45    -2077.342211       10.0846
BFGS:    2 16:02:55    -2077.684873        8.0839
BFGS:    3 16:03:05    -2077.952714        6.6135
BFGS:    4 16:03:16    -2078.166507        5.1946
BFGS:    5 16:03:26    -2078.326377        3.6136
BFGS:    6 16:03:36    -2078.422776        1.7423
BFGS:    7 16:03:47    -2078.443413        0.5017
BFGS:    8 16:03:55    -2078.445266        0.3624
BFGS:    9 16:04:03    -2078.445983        0.2886
BFGS:   10 16:04:12    -2078.446911        0.0708
BFGS:   11 16:04:19    -2078.446949        0.0157
BFGS:   12 16:04:26    -2078.446949        0.0006
      Step     Time          Energy         fmax
BFGS:    0 16:04:37    -2076.867901        0.0000
      Step     Time          Energy         fmax
BFGS:    0 16:04:37    -2076.867901       13.9247
BFGS:    1 16:04:49    -2077.622646        7.6250
BFGS:    2 16:05:00    -2078.084708        5.5413
BFGS:    3 16:05:11    -2078.394824        3.1190
BFGS:    4 16:05:22    -2078.482084        1.1074
BFGS:    5 16:05:32    -2078.492148        0.4982
BFGS:    6 16:05:41    -2078.494422        0.2974
BFGS:    7 16:05:50    -2078.496483        0.1029
BFGS:    8 16:05:57    -2078.496585        0.0790
BFGS:    9 16:06:05    -2078.496668        0.0087
