################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.0529092031466183E+00 a         1     0     1     1     1
  2.1552977853320474E+00 a         2     0     1     1     2
  2.0700571412610365E+00 a         3     0     1     1     3
 -7.9157743063593395E+00 a         4     0     1     1     4
  5.3398995563722025E+00 a         5     0     1     1     5
 -7.9432015043475146E-01 a         6     0     1     1     6
  1.6615552334790606E+00 a         7     0     1     1     7
  9.9782147200409543E+00 a         8     0     1     1     8
 -5.4721748402182655E+00 a         9     0     1     1     9
 -2.9878082431126169E+00 a        10     0     1     1    10
  2.5827273960972345E-02 a        11     0     1     1    11
 -2.2335925086166353E-01 a        12     0     1     1    12
  1.9141662727939264E+00 a        13     0     1     1    13
  2.0481091678255141E+00 a        14     0     1     1    14
 -1.7326616573974181E+00 a        15     0     1     1    15
  3.2874128913068685E+00 a        16     0     1     1    16
  6.6715312043374941E-01 a        17     0     2     1     1
 -4.5043785358562811E+00 a        18     0     2     1     2
 -7.8944278935910328E-01 a        19     0     2     1     3
 -3.5427410836407138E+00 a        20     0     2     1     4
 -2.4949288031698544E+00 a        21     0     2     1     5
 -6.9517820245787065E-01 a        22     0     2     1     6
 -7.2277069725382797E+00 a        23     0     2     1     7
 -5.8594917265866886E-01 a        24     0     2     1     8
  1.9529583193309466E-01 a        25     0     2     1     9
 -7.7502781433689627E+00 a        26     0     2     1    10
 -1.3493036361229245E+00 a        27     0     2     1    11
  1.9252498406441836E+00 a        28     0     2     1    12
 -3.1875122791166626E+00 a        29     0     2     1    13
  1.2683937536998811E+00 a        30     0     2     1    14
 -8.5491656426330564E-01 a        31     0     2     1    15
  1.2919182148256543E+00 a        32     0     2     1    16
 -5.7353659163692816E+00 a        33     0     3     1     1
 -1.4206941432847836E+01 a        34     0     3     1     2
 -1.0781316830198644E+01 a        35     0     3     1     3
 -1.1077760362727435E+01 a        36     0     3     1     4
 -1.4338020326932080E+01 a        37     0     3     1     5
 -7.1327268543807083E+00 a        38     0     3     1     6
 -5.2425693505342306E+00 a        39     0     3     1     7
  1.8309279004591570E+01 a        40     0     3     1     8
  2.3696013782541165E+01 a        41     0     3     1     9
  1.8908954522547081E+01 a        42     0     3     1    10
  1.6465327625985669E+01 a        43     0     3     1    11
  5.7254133410081200E+00 a        44     0     3     1    12
 -2.3154034833610769E+01 a        45     0     3     1    13
  9.5872796799605133E+00 a        46     0     3     1    14
 -9.5625980182546311E+00 a        47     0     3     1    15
 -4.0481312467420878E+01 a        48     0     3     1    16
  2.9720269490072870E+00 a        49     0     4     1     1
  3.3230061174310187E+01 a        50     0     4     1     2
  2.2282323984686414E+01 a        51     0     4     1     3
  5.8976069060643059E+00 a        52     0     4     1     4
  1.7930949635478999E+01 a        53     0     4     1     5
  6.9198024133456366E+00 a        54     0     4     1     6
  6.2091103679950175E+00 a        55     0     4     1     7
 -3.7634328177516778E+01 a        56     0     4     1     8
 -4.1579740697046645E+01 a        57     0     4     1     9
 -1.5601472199428281E+01 a        58     0     4     1    10
 -2.5912395407929367E+01 a        59     0     4     1    11
 -2.1292151923245726E+01 a        60     0     4     1    12
  3.0177259258356120E+01 a        61     0     4     1    13
 -5.2310899613390465E+00 a        62     0     4     1    14
  9.7023987246764261E+00 a        63     0     4     1    15
  7.6474536364297961E+01 a        64     0     4     1    16
  3.0687429676215183E+00 a        65     0     5     1     1
 -2.7192235145473670E-01 a        66     0     5     1     2
  1.3445021813835261E+00 a        67     0     5     1     3
  1.4370722476551416E+00 a        68     0     5     1     4
 -1.5579665475508460E+00 a        69     0     5     1     5
 -1.0454138086359473E-02 a        70     0     5     1     6
 -8.8088377903111359E-01 a        71     0     5     1     7
 -2.8624794444091384E+00 a        72     0     5     1     8
 -3.7501184521603330E-02 a        73     0     5     1     9
  5.3649328291750585E-02 a        74     0     5     1    10
  1.2865079657182295E+00 a        75     0     5     1    11
  7.4532146906900076E-01 a        76     0     5     1    12
  5.5648493432549928E-01 a        77     0     5     1    13
  2.9632321530638391E-02 a        78     0     5     1    14
  5.9716338512027833E-01 a        79     0     5     1    15
  1.2693257428842128E+00 a        80     0     5     1    16
  1.5840748149454285E+00 a        81     0     6     1     1
  1.6271027734769123E+00 a        82     0     6     1     2
  3.7373921438559163E+00 a        83     0     6     1     3
  2.9636320020986444E+00 a        84     0     6     1     4
  6.1730202697023084E-01 a        85     0     6     1     5
 -3.9904906441915838E-01 a        86     0     6     1     6
  2.7252027164109149E+00 a        87     0     6     1     7
 -4.6314362907295947E-01 a        88     0     6     1     8
 -3.4414548136191603E+00 a        89     0     6     1     9
  9.0076066988889159E-01 a        90     0     6     1    10
  1.9823015012277803E+00 a        91     0     6     1    11
  2.5108096530639690E-01 a        92     0     6     1    12
  1.8578663104802773E+00 a        93     0     6     1    13
  3.4992839596915681E-01 a        94     0     6     1    14
  3.3123746371266927E-01 a        95     0     6     1    15
  1.9564775423461975E-01 a        96     0     6     1    16
  4.1636933595560599E+00 a        97     0     7     1     1
 -2.6674596267998687E+01 a        98     0     7     1     2
 -1.7487103070669164E+01 a        99     0     7     1     3
  5.4424731018308279E+00 a       100     0     7     1     4
 -1.4295673128118775E+00 a       101     0     7     1     5
  7.0284667546583168E-01 a       102     0     7     1     6
 -4.0817564323986115E+00 a       103     0     7     1     7
  2.2666487766021692E+01 a       104     0     7     1     8
  2.7686797892549400E+01 a       105     0     7     1     9
  3.3322726307683981E+00 a       106     0     7     1    10
  1.8080007198166289E+01 a       107     0     7     1    11
  2.2657398080561162E+01 a       108     0     7     1    12
 -3.6468617009931967E+00 a       109     0     7     1    13
 -3.4130942927041499E+00 a       110     0     7     1    14
 -8.7338139733171116E-02 a       111     0     7     1    15
 -5.4428144286263581E+01 a       112     0     7     1    16
 -1.6965610160040099E+00 a       113     0     8     1     1
  1.0831571871393690E+01 a       114     0     8     1     2
  1.0932998569802665E+01 a       115     0     8     1     3
 -1.2512621333463116E+00 a       116     0     8     1     4
 -3.6230816709411720E+00 a       117     0     8     1     5
 -2.1501455299066250E+00 a       118     0     8     1     6
  2.4936889153336397E+00 a       119     0     8     1     7
 -5.4449071972994227E+00 a       120     0     8     1     8
 -1.0822017749720553E+01 a       121     0     8     1     9
  2.0755939712074772E-01 a       122     0     8     1    10
 -4.8976498465170897E+00 a       123     0     8     1    11
 -1.1448478847836881E+01 a       124     0     8     1    12
 -4.8102555879829536E+00 a       125     0     8     1    13
  3.1127461702227328E+00 a       126     0     8     1    14
 -9.7527507949071490E-01 a       127     0     8     1    15
  2.1427093700966882E+01 a       128     0     8     1    16
  1.8928520368358033E+01 a       129     0     9     1     1
 -9.6188479315884621E+00 a       130     0     9     1     2
 -2.4482732158148663E+00 a       131     0     9     1     3
  3.6150024761582479E+01 a       132     0     9     1     4
  1.4853441845331572E+01 a       133     0     9     1     5
  4.6945000716754990E+00 a       134     0     9     1     6
 -4.4260722980210048E+00 a       135     0     9     1     7
 -2.4929423519564736E+01 a       136     0     9     1     8
  3.1690772101773323E+01 a       137     0     9     1     9
 -4.2148625170962113E+00 a       138     0     9     1    10
 -3.5157960649017014E+01 a       139     0     9     1    11
 -1.1299316461983357E+01 a       140     0     9     1    12
 -1.6639871656627307E+01 a       141     0     9     1    13
 -1.9385388565301135E+01 a       142     0     9     1    14
 -1.2079422794404933E+00 a       143     0     9     1    15
 -7.3141989464874840E+01 a       144     0     9     1    16
 -1.0882665214245946E+00 a       145     0    10     1     1
 -5.7978860385630702E+00 a       146     0    10     1     2
 -2.5133381589592274E-01 a       147     0    10     1     3
 -1.1720504389826136E+01 a       148     0    10     1     4
 -5.1707397572294251E+00 a       149     0    10     1     5
 -7.7864988534018069E+00 a       150     0    10     1     6
 -3.8882062164269739E+00 a       151     0    10     1     7
  1.2292961873156214E+01 a       152     0    10     1     8
 -2.4674226062006563E+00 a       153     0    10     1     9
 -6.9522875896834115E+00 a       154     0    10     1    10
  5.6452125032975597E-01 a       155     0    10     1    11
  5.4391472042795561E+00 a       156     0    10     1    12
 -2.4436721051732695E+00 a       157     0    10     1    13
 -1.9057940725232645E+00 a       158     0    10     1    14
 -9.4122481982813042E+00 a       159     0    10     1    15
 -1.1829795229755982E+01 a       160     0    10     1    16
  1.3756220559753292E+00 a       161     0    11     1     1
 -7.2039586141663577E+01 a       162     0    11     1     2
  5.9986462121689001E+00 a       163     0    11     1     3
 -2.2048068555535841E-01 a       164     0    11     1     4
 -1.1013750828609160E+01 a       165     0    11     1     5
 -8.2262509199428351E+00 a       166     0    11     1     6
  1.3626152296007366E+01 a       167     0    11     1     7
 -4.3246057775198761E+00 a       168     0    11     1     8
  4.6861443428577578E+00 a       169     0    11     1     9
 -2.6017810397053641E+01 a       170     0    11     1    10
  3.8046951084103826E+00 a       171     0    11     1    11
  4.3065010131867574E+01 a       172     0    11     1    12
 -1.2927307259589174E+00 a       173     0    11     1    13
 -8.0141218027195293E+00 a       174     0    11     1    14
 -7.6301189794150936E-01 a       175     0    11     1    15
 -4.7103616613906908E+01 a       176     0    11     1    16
  1.2872932802491921E+00 a       177     0    12     1     1
  2.3661693865794003E+01 a       178     0    12     1     2
 -1.0629811015689333E+01 a       179     0    12     1     3
  4.1911284369435073E+01 a       180     0    12     1     4
 -2.7609492959589648E+01 a       181     0    12     1     5
 -8.5713910892732521E+00 a       182     0    12     1     6
 -1.9065622536833466E+01 a       183     0    12     1     7
 -4.4933756242521447E+01 a       184     0    12     1     8
  1.4210895279153275E+01 a       185     0    12     1     9
 -1.8318467583418730E+01 a       186     0    12     1    10
  3.3610142540954641E+01 a       187     0    12     1    11
  3.7832163834838042E+01 a       188     0    12     1    12
  1.7294019079458756E+01 a       189     0    12     1    13
  1.6938680061783625E+01 a       190     0    12     1    14
 -7.4993752214145477E+00 a       191     0    12     1    15
  2.5362344409092907E+00 a       192     0    12     1    16
  1.7116130456078618E+00 a       193     0    13     1     1
 -7.4371680459137810E+00 a       194     0    13     1     2
 -1.8045842827976308E+01 a       195     0    13     1     3
 -2.3050561170463495E+00 a       196     0    13     1     4
 -2.2370185010373813E+00 a       197     0    13     1     5
  2.4991061049388201E+00 a       198     0    13     1     6
 -1.2551326647769976E+01 a       199     0    13     1     7
 -9.3456923452513436E+00 a       200     0    13     1     8
  4.6019307736169122E+00 a       201     0    13     1     9
 -7.7929950125676939E-01 a       202     0    13     1    10
  9.9079360540478838E+00 a       203     0    13     1    11
  8.3565248243852963E+00 a       204     0    13     1    12
 -3.3563672278177847E+00 a       205     0    13     1    13
  1.1800541989873992E+00 a       206     0    13     1    14
  4.7883281877032253E+00 a       207     0    13     1    15
  4.1573841289883786E+00 a       208     0    13     1    16
 -3.6618495819059493E+00 a       209     0    14     1     1
 -4.0050084796670539E+01 a       210     0    14     1     2
  4.0472772702411170E+01 a       211     0    14     1     3
  7.5208579562299235E+01 a       212     0    14     1     4
 -4.0421612038554599E+01 a       213     0    14     1     5
 -4.7499637314262955E+01 a       214     0    14     1     6
  1.0733427241399880E+01 a       215     0    14     1     7
  1.1555918344898708E+02 a       216     0    14     1     8
 -2.0230281968139066E+00 a       217     0    14     1     9
 -2.4261692573729011E+01 a       218     0    14     1    10
 -3.0825159363889963E+01 a       219     0    14     1    11
  4.6379416335121192E+01 a       220     0    14     1    12
 -1.4151674941805916E+00 a       221     0    14     1    13
 -7.4466763307812769E+01 a       222     0    14     1    14
  4.7243573800671669E+01 a       223     0    14     1    15
  3.0304907882733524E+01 a       224     0    14     1    16
