################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.3164024665829137E+00 a         1     0     1     1     1
 -2.7794523252199665E+00 a         2     0     1     1     2
 -2.0785359071747038E+00 a         3     0     1     1     3
 -3.2766794134557842E-01 a         4     0     1     1     4
  1.1558926637909577E+01 a         5     0     1     1     5
  4.9584707129196097E+00 a         6     0     1     1     6
 -1.3401268813871507E+00 a         7     0     1     1     7
 -2.9650785235322643E+00 a         8     0     1     1     8
 -2.0878758806402922E+00 a         9     0     1     1     9
 -2.5001638070414276E+00 a        10     0     1     1    10
 -5.4268852438494830E-01 a        11     0     1     1    11
  7.2317610352841388E-01 a        12     0     1     1    12
  7.0902709265957609E-01 a        13     0     1     1    13
 -3.8925242612562094E+00 a        14     0     1     1    14
  8.0254138246550646E+00 a        15     0     1     1    15
 -9.4226027078327945E+00 a        16     0     1     1    16
  7.3281646057749033E+00 a        17     0     2     1     1
 -7.9226057599577064E+00 a        18     0     2     1     2
 -1.1585978240938177E+01 a        19     0     2     1     3
  2.2675791894183956E+01 a        20     0     2     1     4
 -1.8036187452943837E+00 a        21     0     2     1     5
 -1.4832978745670836E+01 a        22     0     2     1     6
  1.3785178826624671E+01 a        23     0     2     1     7
 -5.2436781393650767E-01 a        24     0     2     1     8
 -9.5453471700883270E+00 a        25     0     2     1     9
 -5.2459210909877960E+00 a        26     0     2     1    10
 -1.9527500246824559E+01 a        27     0     2     1    11
 -1.4866694341548801E+01 a        28     0     2     1    12
 -1.3238195462828802E+01 a        29     0     2     1    13
 -1.4249101346213537E+01 a        30     0     2     1    14
  3.9195481977500020E+00 a        31     0     2     1    15
 -1.4062163151569091E+01 a        32     0     2     1    16
  7.3173436952432862E+00 a        33     0     3     1     1
 -2.6814823288264034E+00 a        34     0     3     1     2
 -2.1050254054760387E+01 a        35     0     3     1     3
 -1.5229329624842455E+01 a        36     0     3     1     4
 -2.7131315613476403E+01 a        37     0     3     1     5
  8.2869104644697824E+00 a        38     0     3     1     6
  1.4796974787172955E+01 a        39     0     3     1     7
 -1.8109883475055335E+00 a        40     0     3     1     8
  1.3976330031112195E+01 a        41     0     3     1     9
 -1.1755346772427938E+01 a        42     0     3     1    10
 -1.2385224155780373E+01 a        43     0     3     1    11
 -1.0618105952848488E+01 a        44     0     3     1    12
  2.5334409358481189E+01 a        45     0     3     1    13
 -2.4724885863943449E+01 a        46     0     3     1    14
